customer_key,customer_id,country,region,credit_score_band,acquisition_channel
78,CUS-000078,Netherlands,North Brabant,Poor,Online
79,CUS-000079,Germany,North Rhine-Westphalia,Fair,Marketplace
80,CUS-000080,Germany,Hesse,Fair,Online
81,CUS-000081,Austria,Styria,Good,Direct Sales
82,CUS-000082,Austria,Vienna,Good,Online
83,CUS-000083,Austria,Styria,Fair,Installer Referral
84,CUS-000084,Germany,Baden-Württemberg,Excellent,Installer Referral
85,CUS-000085,Austria,Upper Austria,Good,Online
86,CUS-000086,Austria,Styria,Excellent,Marketplace
87,CUS-000087,Germany,Berlin,Good,Online
88,CUS-000088,Germany,Lower Saxony,Fair,Online
89,CUS-000089,Austria,Vienna,Good,Online
90,CUS-000090,Germany,Berlin,Fair,Online
91,CUS-000091,Germany,Lower Saxony,Poor,Online
92,CUS-000092,Germany,Lower Saxony,Good,Installer Referral
93,CUS-000093,Germany,North Rhine-Westphalia,Good,Partner Bank
94,CUS-000094,Netherlands,North Brabant,Excellent,Installer Referral
95,CUS-000095,Germany,Berlin,Fair,Partner Bank
96,CUS-000096,Germany,Bavaria,Fair,Installer Referral
97,CUS-000097,Germany,Baden-Württemberg,Excellent,Online
98,CUS-000098,Germany,Bavaria,Fair,Partner Bank
99,CUS-000099,Germany,Lower Saxony,Excellent,Installer Referral
100,CUS-000100,Germany,Lower Saxony,Good,Installer Referral
101,CUS-000101,Germany,Lower Saxony,Excellent,Installer Referral
102,CUS-000102,Germany,Hesse,Fair,Installer Referral
103,CUS-000103,Germany,Hesse,Poor,Installer Referral
104,CUS-000104,Germany,Hesse,Fair,Online
105,CUS-000105,Austria,Vienna,Fair,Installer Referral
106,CUS-000106,Netherlands,South Holland,Poor,Marketplace
107,CUS-000107,Germany,Hesse,Excellent,Marketplace
108,CUS-000108,Germany,North Rhine-Westphalia,Fair,Installer Referral
109,CUS-000109,Germany,North Rhine-Westphalia,Excellent,Installer Referral
110,CUS-000110,Germany,Lower Saxony,Fair,Online
111,CUS-000111,Germany,Baden-Württemberg,Fair,Partner Bank
112,CUS-000112,Germany,Berlin,Good,Installer Referral
113,CUS-000113,Austria,Styria,Fair,Marketplace
114,CUS-000114,Germany,Hesse,Good,Installer Referral
115,CUS-000115,Germany,North Rhine-Westphalia,Excellent,Installer Referral
116,CUS-000116,Germany,Berlin,Fair,Marketplace
117,CUS-000117,Germany,Lower Saxony,Fair,Partner Bank
118,CUS-000118,Netherlands,North Brabant,Good,Online
119,CUS-000119,Germany,Lower Saxony,Fair,Online
120,CUS-000120,Germany,North Rhine-Westphalia,Poor,Direct Sales
121,CUS-000121,Germany,Bavaria,Poor,Partner Bank
122,CUS-000122,Germany,Bavaria,Fair,Installer Referral
123,CUS-000123,Germany,Lower Saxony,Poor,Installer Referral
124,CUS-000124,Germany,Berlin,Fair,Marketplace
125,CUS-000125,Germany,Lower Saxony,Good,Partner Bank
126,CUS-000126,Austria,Upper Austria,Good,Online
127,CUS-000127,Germany,Lower Saxony,Fair,Online
128,CUS-000128,Germany,Baden-Württemberg,Good,Installer Referral
129,CUS-000129,Austria,Styria,Fair,Installer Referral
130,CUS-000130,Austria,Upper Austria,Good,Installer Referral
131,CUS-000131,Germany,Lower Saxony,Fair,Partner Bank
132,CUS-000132,Germany,Hesse,Excellent,Installer Referral
133,CUS-000133,Austria,Upper Austria,Excellent,Marketplace
134,CUS-000134,Germany,North Rhine-Westphalia,Fair,Installer Referral
135,CUS-000135,Germany,Lower Saxony,Excellent,Marketplace
136,CUS-000136,Netherlands,South Holland,Poor,Online
137,CUS-000137,Germany,Berlin,Good,Partner Bank
138,CUS-000138,Germany,Lower Saxony,Poor,Installer Referral
139,CUS-000139,Germany,Lower Saxony,Excellent,Online
140,CUS-000140,Austria,Vienna,Poor,Installer Referral
141,CUS-000141,Austria,Upper Austria,Good,Partner Bank
142,CUS-000142,Germany,Bavaria,Good,Installer Referral
143,CUS-000143,Germany,Berlin,Good,Installer Referral
144,CUS-000144,Germany,Baden-Württemberg,Good,Partner Bank
145,CUS-000145,Germany,Baden-Württemberg,Poor,Marketplace
146,CUS-000146,Germany,Lower Saxony,Good,Partner Bank
147,CUS-000147,Germany,Berlin,Good,Direct Sales
148,CUS-000148,Germany,Berlin,Fair,Partner Bank
149,CUS-000149,Germany,Bavaria,Excellent,Marketplace
150,CUS-000150,Germany,Bavaria,Poor,Online
151,CUS-000151,Germany,Lower Saxony,Excellent,Installer Referral
152,CUS-000152,Austria,Vienna,Excellent,Partner Bank
153,CUS-000153,Germany,Hesse,Fair,Online
154,CUS-000154,Austria,Styria,Poor,Installer Referral
155,CUS-000155,Germany,Berlin,Poor,Online
156,CUS-000156,Germany,Hesse,Excellent,Online
157,CUS-000157,Netherlands,North Holland,Fair,Online
158,CUS-000158,Germany,Berlin,Fair,Installer Referral
159,CUS-000159,Germany,Baden-Württemberg,Poor,Installer Referral
160,CUS-000160,Austria,Upper Austria,Good,Online
161,CUS-000161,Germany,Lower Saxony,Fair,Partner Bank
162,CUS-000162,Germany,Bavaria,Fair,Installer Referral
163,CUS-000163,Germany,Lower Saxony,Poor,Installer Referral
164,CUS-000164,Germany,Baden-Württemberg,Good,Partner Bank
165,CUS-000165,Austria,Upper Austria,Poor,Partner Bank
166,CUS-000166,Germany,Lower Saxony,Poor,Marketplace
167,CUS-000167,Germany,Lower Saxony,Fair,Online
168,CUS-000168,Germany,Lower Saxony,Poor,Installer Referral
169,CUS-000169,Germany,Baden-Württemberg,Fair,Marketplace
170,CUS-000170,Germany,Berlin,Good,Installer Referral
171,CUS-000171,Austria,Styria,Poor,Direct Sales
172,CUS-000172,Austria,Upper Austria,Fair,Installer Referral
173,CUS-000173,Austria,Vienna,Fair,Online
174,CUS-000174,Germany,Berlin,Fair,Partner Bank
175,CUS-000175,Germany,Bavaria,Poor,Online
176,CUS-000176,Germany,Lower Saxony,Excellent,Installer Referral
177,CUS-000177,Germany,Baden-Württemberg,Good,Online
178,CUS-000178,Germany,Hesse,Poor,Installer Referral
179,CUS-000179,Germany,Baden-Württemberg,Fair,Installer Referral
180,CUS-000180,Austria,Upper Austria,Poor,Installer Referral
181,CUS-000181,Austria,Vienna,Good,Installer Referral
182,CUS-000182,Austria,Vienna,Poor,Partner Bank
183,CUS-000183,Netherlands,North Brabant,Good,Partner Bank
184,CUS-000184,Germany,Hesse,Excellent,Installer Referral
185,CUS-000185,Austria,Upper Austria,Fair,Direct Sales
186,CUS-000186,Netherlands,North Holland,Fair,Online
187,CUS-000187,Germany,Hesse,Good,Online
188,CUS-000188,Germany,Berlin,Fair,Direct Sales
189,CUS-000189,Germany,Lower Saxony,Excellent,Installer Referral
190,CUS-000190,Germany,Lower Saxony,Excellent,Installer Referral
191,CUS-000191,Germany,Lower Saxony,Good,Partner Bank
192,CUS-000192,Austria,Styria,Good,Partner Bank
193,CUS-000193,Germany,Lower Saxony,Fair,Direct Sales
194,CUS-000194,Germany,Baden-Württemberg,Excellent,Installer Referral
195,CUS-000195,Germany,North Rhine-Westphalia,Poor,Installer Referral
196,CUS-000196,Germany,Hesse,Poor,Online
197,CUS-000197,Germany,Baden-Württemberg,Excellent,Installer Referral
198,CUS-000198,Austria,Upper Austria,Excellent,Installer Referral
199,CUS-000199,Germany,Bavaria,Excellent,Installer Referral
200,CUS-000200,Netherlands,North Brabant,Good,Direct Sales
201,CUS-000201,Germany,Hesse,Good,Direct Sales
202,CUS-000202,Germany,North Rhine-Westphalia,Fair,Online
203,CUS-000203,Germany,North Rhine-Westphalia,Poor,Online
204,CUS-000204,Austria,Vienna,Fair,Installer Referral
205,CUS-000205,Germany,North Rhine-Westphalia,Fair,Installer Referral
206,CUS-000206,Germany,North Rhine-Westphalia,Fair,Online
207,CUS-000207,Austria,Upper Austria,Good,Installer Referral
208,CUS-000208,Germany,Lower Saxony,Good,Marketplace
209,CUS-000209,Germany,Berlin,Good,Online
210,CUS-000210,Netherlands,North Holland,Poor,Direct Sales
211,CUS-000211,Germany,Bavaria,Good,Direct Sales
212,CUS-000212,Germany,Bavaria,Good,Installer Referral
213,CUS-000213,Germany,Hesse,Fair,Online
214,CUS-000214,Germany,Hesse,Good,Online
215,CUS-000215,Germany,Bavaria,Fair,Installer Referral
216,CUS-000216,Germany,Hesse,Fair,Installer Referral
217,CUS-000217,Germany,North Rhine-Westphalia,Good,Direct Sales
218,CUS-000218,Germany,Berlin,Excellent,Online
219,CUS-000219,Germany,Baden-Württemberg,Poor,Partner Bank
220,CUS-000220,Germany,Bavaria,Fair,Installer Referral
221,CUS-000221,Germany,Berlin,Good,Installer Referral
222,CUS-000222,Germany,Hesse,Fair,Partner Bank
223,CUS-000223,Germany,Berlin,Poor,Online
224,CUS-000224,Netherlands,North Holland,Poor,Online
225,CUS-000225,Germany,Hesse,Good,Installer Referral
226,CUS-000226,Germany,Bavaria,Good,Online
227,CUS-000227,Germany,Baden-Württemberg,Fair,Direct Sales
228,CUS-000228,Austria,Styria,Fair,Online
229,CUS-000229,Germany,Berlin,Fair,Installer Referral
230,CUS-000230,Germany,Berlin,Fair,Marketplace
231,CUS-000231,Germany,North Rhine-Westphalia,Poor,Online
232,CUS-000232,Germany,North Rhine-Westphalia,Fair,Marketplace
233,CUS-000233,Germany,Hesse,Good,Online
234,CUS-000234,Germany,Baden-Württemberg,Good,Installer Referral
235,CUS-000235,Netherlands,North Brabant,Excellent,Installer Referral
236,CUS-000236,Germany,Hesse,Excellent,Installer Referral
237,CUS-000237,Germany,Lower Saxony,Good,Online
238,CUS-000238,Germany,Hesse,Excellent,Online
239,CUS-000239,Germany,Berlin,Fair,Online
240,CUS-000240,Germany,North Rhine-Westphalia,Good,Online
241,CUS-000241,Germany,Baden-Württemberg,Poor,Partner Bank
242,CUS-000242,Austria,Upper Austria,Good,Installer Referral
243,CUS-000243,Austria,Vienna,Excellent,Online
244,CUS-000244,Germany,Hesse,Fair,Direct Sales
245,CUS-000245,Germany,Berlin,Excellent,Installer Referral
246,CUS-000246,Netherlands,South Holland,Fair,Online
247,CUS-000247,Austria,Upper Austria,Good,Online
248,CUS-000248,Netherlands,North Holland,Fair,Online
249,CUS-000249,Austria,Upper Austria,Excellent,Direct Sales
250,CUS-000250,Germany,Hesse,Good,Installer Referral
251,CUS-000251,Austria,Styria,Good,Installer Referral
252,CUS-000252,Germany,Hesse,Fair,Online
253,CUS-000253,Germany,Baden-Württemberg,Good,Marketplace
254,CUS-000254,Germany,North Rhine-Westphalia,Good,Installer Referral
255,CUS-000255,Germany,Hesse,Excellent,Partner Bank
256,CUS-000256,Germany,Berlin,Good,Partner Bank
257,CUS-000257,Austria,Upper Austria,Fair,Direct Sales
258,CUS-000258,Germany,Hesse,Good,Marketplace
259,CUS-000259,Germany,Lower Saxony,Excellent,Online
260,CUS-000260,Germany,Baden-Württemberg,Fair,Installer Referral
261,CUS-000261,Germany,Lower Saxony,Good,Installer Referral
262,CUS-000262,Austria,Vienna,Fair,Marketplace
263,CUS-000263,Germany,Hesse,Good,Online
264,CUS-000264,Germany,Berlin,Poor,Online
265,CUS-000265,Austria,Styria,Excellent,Online
266,CUS-000266,Germany,Bavaria,Good,Direct Sales
267,CUS-000267,Austria,Styria,Excellent,Online
268,CUS-000268,Germany,Berlin,Good,Online
269,CUS-000269,Germany,North Rhine-Westphalia,Good,Direct Sales
270,CUS-000270,Germany,Baden-Württemberg,Fair,Installer Referral
271,CUS-000271,Germany,Baden-Württemberg,Excellent,Installer Referral
272,CUS-000272,Germany,Baden-Württemberg,Good,Direct Sales
273,CUS-000273,Netherlands,North Brabant,Poor,Installer Referral
274,CUS-000274,Germany,North Rhine-Westphalia,Poor,Installer Referral
275,CUS-000275,Germany,Berlin,Good,Online
276,CUS-000276,Netherlands,South Holland,Fair,Online
277,CUS-000277,Germany,North Rhine-Westphalia,Fair,Direct Sales
278,CUS-000278,Austria,Styria,Poor,Installer Referral
279,CUS-000279,Germany,Hesse,Good,Installer Referral
280,CUS-000280,Germany,North Rhine-Westphalia,Good,Partner Bank
281,CUS-000281,Germany,North Rhine-Westphalia,Excellent,Installer Referral
282,CUS-000282,Austria,Styria,Fair,Direct Sales
283,CUS-000283,Austria,Vienna,Fair,Direct Sales
284,CUS-000284,Germany,Hesse,Good,Installer Referral
285,CUS-000285,Austria,Styria,Fair,Installer Referral
286,CUS-000286,Germany,Lower Saxony,Good,Partner Bank
287,CUS-000287,Netherlands,North Brabant,Good,Partner Bank
288,CUS-000288,Germany,Hesse,Good,Marketplace
289,CUS-000289,Austria,Vienna,Good,Marketplace
290,CUS-000290,Netherlands,South Holland,Fair,Partner Bank
291,CUS-000291,Germany,Lower Saxony,Poor,Direct Sales
292,CUS-000292,Austria,Vienna,Poor,Installer Referral
293,CUS-000293,Germany,Baden-Württemberg,Fair,Installer Referral
294,CUS-000294,Austria,Vienna,Good,Partner Bank
295,CUS-000295,Germany,Hesse,Excellent,Online
296,CUS-000296,Netherlands,North Holland,Fair,Direct Sales
297,CUS-000297,Netherlands,South Holland,Excellent,Online
298,CUS-000298,Germany,Bavaria,Good,Installer Referral
299,CUS-000299,Netherlands,North Brabant,Fair,Partner Bank
300,CUS-000300,Germany,Baden-Württemberg,Poor,Online
301,CUS-000301,Austria,Styria,Good,Online
302,CUS-000302,Netherlands,North Holland,Good,Direct Sales
303,CUS-000303,Germany,Berlin,Fair,Online
304,CUS-000304,Austria,Vienna,Good,Installer Referral
305,CUS-000305,Germany,Hesse,Good,Installer Referral
306,CUS-000306,Netherlands,North Brabant,Good,Online
307,CUS-000307,Germany,Berlin,Excellent,Online
308,CUS-000308,Germany,North Rhine-Westphalia,Fair,Installer Referral
309,CUS-000309,Germany,Hesse,Poor,Installer Referral
310,CUS-000310,Germany,Hesse,Fair,Online
311,CUS-000311,Germany,Lower Saxony,Excellent,Installer Referral
312,CUS-000312,Germany,Berlin,Excellent,Partner Bank
313,CUS-000313,Germany,Berlin,Fair,Installer Referral
314,CUS-000314,Germany,Baden-Württemberg,Excellent,Installer Referral
315,CUS-000315,Germany,Berlin,Excellent,Partner Bank
316,CUS-000316,Germany,Berlin,Good,Installer Referral
317,CUS-000317,Germany,Berlin,Fair,Online
318,CUS-000318,Germany,Bavaria,Fair,Direct Sales
319,CUS-000319,Germany,Baden-Württemberg,Good,Marketplace
320,CUS-000320,Germany,Baden-Württemberg,Excellent,Online
321,CUS-000321,Germany,Bavaria,Poor,Installer Referral
322,CUS-000322,Germany,Baden-Württemberg,Good,Online
323,CUS-000323,Germany,Lower Saxony,Good,Installer Referral
324,CUS-000324,Germany,Baden-Württemberg,Poor,Online
325,CUS-000325,Austria,Styria,Good,Online
326,CUS-000326,Netherlands,North Holland,Good,Installer Referral
327,CUS-000327,Germany,Berlin,Good,Online
328,CUS-000328,Austria,Vienna,Fair,Installer Referral
329,CUS-000329,Germany,Baden-Württemberg,Fair,Online
330,CUS-000330,Germany,Bavaria,Excellent,Online
331,CUS-000331,Germany,Berlin,Fair,Marketplace
332,CUS-000332,Germany,Hesse,Fair,Online
333,CUS-000333,Germany,North Rhine-Westphalia,Fair,Installer Referral
334,CUS-000334,Germany,Hesse,Excellent,Installer Referral
335,CUS-000335,Germany,Baden-Württemberg,Good,Partner Bank
336,CUS-000336,Germany,Hesse,Good,Installer Referral
337,CUS-000337,Germany,Bavaria,Excellent,Installer Referral
338,CUS-000338,Germany,Hesse,Excellent,Partner Bank
339,CUS-000339,Austria,Vienna,Poor,Installer Referral
340,CUS-000340,Netherlands,South Holland,Good,Installer Referral
341,CUS-000341,Germany,North Rhine-Westphalia,Poor,Online
342,CUS-000342,Germany,Berlin,Poor,Marketplace
343,CUS-000343,Germany,Berlin,Excellent,Online
344,CUS-000344,Austria,Vienna,Fair,Marketplace
345,CUS-000345,Germany,Baden-Württemberg,Good,Installer Referral
346,CUS-000346,Germany,North Rhine-Westphalia,Good,Online
347,CUS-000347,Germany,Hesse,Good,Direct Sales
348,CUS-000348,Germany,Hesse,Poor,Installer Referral
349,CUS-000349,Germany,Berlin,Fair,Online
350,CUS-000350,Austria,Styria,Excellent,Marketplace
351,CUS-000351,Germany,Lower Saxony,Good,Online
352,CUS-000352,Germany,Hesse,Fair,Installer Referral
353,CUS-000353,Netherlands,South Holland,Good,Direct Sales
354,CUS-000354,Austria,Styria,Excellent,Installer Referral
355,CUS-000355,Germany,Berlin,Good,Marketplace
356,CUS-000356,Germany,Baden-Württemberg,Fair,Installer Referral
357,CUS-000357,Germany,Hesse,Good,Online
358,CUS-000358,Germany,Bavaria,Good,Installer Referral
359,CUS-000359,Netherlands,North Holland,Excellent,Online
360,CUS-000360,Netherlands,South Holland,Fair,Online
361,CUS-000361,Austria,Vienna,Excellent,Marketplace
362,CUS-000362,Austria,Upper Austria,Fair,Partner Bank
363,CUS-000363,Germany,Berlin,Excellent,Direct Sales
364,CUS-000364,Germany,Berlin,Poor,Online
365,CUS-000365,Austria,Styria,Good,Online
366,CUS-000366,Germany,North Rhine-Westphalia,Good,Online
367,CUS-000367,Germany,Hesse,Excellent,Direct Sales
368,CUS-000368,Germany,Baden-Württemberg,Poor,Installer Referral
369,CUS-000369,Germany,Hesse,Excellent,Installer Referral
370,CUS-000370,Germany,Lower Saxony,Good,Installer Referral
371,CUS-000371,Germany,Lower Saxony,Poor,Online
372,CUS-000372,Netherlands,North Holland,Fair,Marketplace
373,CUS-000373,Austria,Vienna,Fair,Online
374,CUS-000374,Germany,Lower Saxony,Poor,Online
375,CUS-000375,Germany,Lower Saxony,Good,Marketplace
376,CUS-000376,Germany,Baden-Württemberg,Excellent,Installer Referral
377,CUS-000377,Germany,Berlin,Fair,Installer Referral
378,CUS-000378,Germany,Bavaria,Good,Direct Sales
379,CUS-000379,Austria,Upper Austria,Good,Online
380,CUS-000380,Germany,North Rhine-Westphalia,Good,Installer Referral
381,CUS-000381,Germany,Lower Saxony,Fair,Installer Referral
382,CUS-000382,Netherlands,North Brabant,Fair,Installer Referral
383,CUS-000383,Germany,Baden-Württemberg,Fair,Installer Referral
384,CUS-000384,Netherlands,North Holland,Excellent,Online
385,CUS-000385,Germany,Bavaria,Excellent,Partner Bank
386,CUS-000386,Austria,Styria,Good,Online
387,CUS-000387,Germany,Baden-Württemberg,Poor,Installer Referral
388,CUS-000388,Germany,Hesse,Fair,Installer Referral
389,CUS-000389,Germany,Hesse,Good,Partner Bank
390,CUS-000390,Germany,Bavaria,Good,Partner Bank
391,CUS-000391,Netherlands,North Brabant,Good,Direct Sales
392,CUS-000392,Austria,Styria,Excellent,Online
393,CUS-000393,Netherlands,North Brabant,Fair,Partner Bank
394,CUS-000394,Germany,North Rhine-Westphalia,Good,Partner Bank
395,CUS-000395,Austria,Upper Austria,Excellent,Partner Bank
396,CUS-000396,Germany,Berlin,Excellent,Installer Referral
397,CUS-000397,Germany,North Rhine-Westphalia,Good,Installer Referral
398,CUS-000398,Germany,Hesse,Poor,Direct Sales
399,CUS-000399,Austria,Vienna,Fair,Online
400,CUS-000400,Germany,Berlin,Good,Installer Referral
401,CUS-000401,Netherlands,South Holland,Poor,Installer Referral
402,CUS-000402,Germany,Berlin,Fair,Direct Sales
403,CUS-000403,Germany,Lower Saxony,Excellent,Installer Referral
404,CUS-000404,Germany,North Rhine-Westphalia,Poor,Marketplace
405,CUS-000405,Austria,Styria,Good,Partner Bank
406,CUS-000406,Germany,Baden-Württemberg,Fair,Marketplace
407,CUS-000407,Austria,Upper Austria,Excellent,Partner Bank
408,CUS-000408,Germany,Lower Saxony,Fair,Marketplace
409,CUS-000409,Austria,Upper Austria,Excellent,Marketplace
410,CUS-000410,Germany,Lower Saxony,Fair,Partner Bank
411,CUS-000411,Germany,Hesse,Good,Online
412,CUS-000412,Germany,Bavaria,Fair,Online
413,CUS-000413,Germany,Berlin,Poor,Installer Referral
414,CUS-000414,Germany,Bavaria,Good,Partner Bank
415,CUS-000415,Germany,North Rhine-Westphalia,Excellent,Online
416,CUS-000416,Netherlands,South Holland,Fair,Direct Sales
417,CUS-000417,Germany,Berlin,Excellent,Marketplace
418,CUS-000418,Germany,Berlin,Excellent,Partner Bank
419,CUS-000419,Germany,North Rhine-Westphalia,Good,Partner Bank
420,CUS-000420,Netherlands,North Holland,Good,Direct Sales
421,CUS-000421,Netherlands,North Holland,Poor,Installer Referral
422,CUS-000422,Germany,Berlin,Poor,Marketplace
423,CUS-000423,Austria,Vienna,Good,Online
424,CUS-000424,Netherlands,South Holland,Good,Marketplace
425,CUS-000425,Germany,Lower Saxony,Poor,Installer Referral
426,CUS-000426,Germany,Baden-Württemberg,Excellent,Installer Referral
427,CUS-000427,Germany,Lower Saxony,Fair,Partner Bank
428,CUS-000428,Germany,Baden-Württemberg,Fair,Online
429,CUS-000429,Austria,Vienna,Fair,Online
430,CUS-000430,Germany,Lower Saxony,Good,Installer Referral
431,CUS-000431,Germany,North Rhine-Westphalia,Poor,Online
432,CUS-000432,Netherlands,North Holland,Good,Installer Referral
433,CUS-000433,Austria,Upper Austria,Good,Partner Bank
434,CUS-000434,Germany,Berlin,Good,Installer Referral
435,CUS-000435,Germany,Lower Saxony,Good,Online
436,CUS-000436,Germany,Berlin,Fair,Partner Bank
437,CUS-000437,Germany,Baden-Württemberg,Good,Installer Referral
438,CUS-000438,Netherlands,South Holland,Excellent,Partner Bank
439,CUS-000439,Germany,Lower Saxony,Fair,Direct Sales
440,CUS-000440,Austria,Styria,Fair,Partner Bank
441,CUS-000441,Germany,Hesse,Poor,Installer Referral
442,CUS-000442,Germany,Berlin,Good,Direct Sales
443,CUS-000443,Germany,Hesse,Poor,Installer Referral
444,CUS-000444,Germany,North Rhine-Westphalia,Good,Online
445,CUS-000445,Germany,North Rhine-Westphalia,Fair,Online
446,CUS-000446,Austria,Upper Austria,Fair,Online
447,CUS-000447,Germany,Lower Saxony,Fair,Online
448,CUS-000448,Germany,Baden-Württemberg,Fair,Installer Referral
449,CUS-000449,Austria,Styria,Good,Installer Referral
450,CUS-000450,Germany,Berlin,Excellent,Marketplace
451,CUS-000451,Netherlands,North Holland,Poor,Online
452,CUS-000452,Germany,North Rhine-Westphalia,Fair,Partner Bank
453,CUS-000453,Netherlands,North Brabant,Poor,Installer Referral
454,CUS-000454,Austria,Upper Austria,Poor,Direct Sales
455,CUS-000455,Germany,Berlin,Poor,Direct Sales
456,CUS-000456,Germany,Baden-Württemberg,Excellent,Marketplace
457,CUS-000457,Germany,North Rhine-Westphalia,Fair,Installer Referral
458,CUS-000458,Germany,Bavaria,Poor,Online
459,CUS-000459,Austria,Upper Austria,Good,Direct Sales
460,CUS-000460,Germany,Baden-Württemberg,Excellent,Installer Referral
461,CUS-000461,Austria,Vienna,Excellent,Partner Bank
462,CUS-000462,Germany,Bavaria,Good,Installer Referral
463,CUS-000463,Germany,Lower Saxony,Fair,Partner Bank
464,CUS-000464,Germany,Berlin,Excellent,Online
465,CUS-000465,Germany,Bavaria,Excellent,Marketplace
466,CUS-000466,Germany,Berlin,Fair,Online
467,CUS-000467,Austria,Upper Austria,Good,Direct Sales
468,CUS-000468,Netherlands,North Brabant,Good,Installer Referral
469,CUS-000469,Germany,Hesse,Poor,Direct Sales
